run,type,temp,acetate,1,2,3,4,5
1,corner,-1,-1,0.0038316000000122585,0.021771600000647595,0.16674240000429563,4.355444400105625,3.600582447834313
2,corner,-1,1,0.037212600000202656,0.4487345999805257,4.196002800483257,4.525290600024164,4.77177537092939
3,corner,1,-1,0.4129098000121303,11.127696600742638,14.199403200298548,7.253746799193323,2.9906114651821554
4,corner,1,1,2.7035765999462456,8.789971799589694,12.454824000597,7.4693652000278234,4.900800399016589
5,edge,0,-1,0.1519902000000002,2.674319399986416,12.105424201115966,8.77118520066142,6.842539554461837
6,edge,-1,0,0.1101011999999173,1.7916786002460867,4.370926200412214,4.075369799975306,3.4990472430363297
7,edge,0,1,0.2442060000030324,7.3666931996122,10.282774800434709,8.592981000430882,6.170143492985517
8,edge,1,0,0.6933546000509523,11.25130380038172,13.154643000103533,6.390897599980235,3.961687035858631
9,center,0,0,0.21991440001875162,10.454780399799347,8.605498200282454,4.935413399711251,5.576312973629683
10,center,0,0,0.02379839999957767,0.32760119999875315,8.106037199497223,2.879111399874091,3.44378076819703
11,center,0,0,0.1992558000056306,11.49266880005598,9.301409999839962,3.9090359997935593,2.3407629998400807
12,center,0,0,0.175636800006032,5.94899639999494,8.41406340058893,6.186273000203073,4.581753304228187
13,center,0,0,0.09927719999541296,13.860070200636983,17.673691801726818,10.48073219973594,4.904803786426783
14,valdiation,0,0.5,0.033982799999648705,2.989321800181642,7.085104799829423,5.744145600125194,2.224244244163856
15,validation,0,0.5,0.07785359999979846,2.7629664002452046,9.055505400523543,5.214396600145847,4.971209864132106
