run,type,temp,acetate,mfc,PI,SG,live/dead
1,corner,-1,-1,1,54955e4,13927e5,1.534255299790738
2,corner,-1,1,2,6204e5,14294e5,1.3039974210186975
3,corner,1,-1,3,13415e4,2365e5,0.7629519194931047
4,corner,1,1,4,17085e4,32545e4,0.9048873280655546
5,edge,0,-1,5,10375e4,23545e4,1.2693975903614458
6,edge,-1,0,6,24785e4,111645e4,3.5045390357070807
7,edge,0,1,7,2534e5,7774e5,2.067876874506709
8,edge,1,0,8,5016e4,73275e3,0.46082535885167464
9,center,0,0,9,4982e4,8324e4,0.6708149337615416
10,center,0,0,10,68265e3,11384e4,0.6676188383505457
11,center,0,0,11,87115e3,1644e5,0.8871606497158928
12,center,0,0,12,9737e4,3335e5,2.4250795933038924
13,center,0,0,13,89735e3,1725e5,0.9223268512843372
14,valdiation,0,0.5,14,28535e4,84825e4,1.9726651480637813
15,validation,0,0.5,15,80435e3,195e6,1.4243177721141294
