mfc,type,temp,acetate,trans_charge_C,trans_PI,trans_SG,trans_live_dead,delta_cod_mg_L,delta_cod_mg_L_day,voltage,cycle_5_energy_J,cumulative_energy_J,trans_ce,trans_delta_cod_mg_L,trans_delta_cod_mg_L_day,trans_voltage,trans_cycle_5_energy_J,trans_cumulative_energy_J
1,corner,-1,-1,-0.565032265,1.525967843,1.476903792,0.448136942,18267,1304.785714,0.021,3.600582448,8.148372448,-0.207007658,-1.059960038,-1.059960038,-1.180233692,-0.50368788,-1.660281669
2,corner,-1,1,0.480357781,1.615376917,1.50290059,0.155733923,20567,1469.071429,0.059,4.771775371,13.97901597,-0.160500968,-0.296599056,-0.296599056,1.377687237,0.376037497,-1.120487053
3,corner,1,-1,-1.042144247,0.095013893,-0.295215805,-0.808080575,24767,1769.071429,0.02,2.990611465,35.98436787,-0.499521519,1.33068484,1.33068484,-1.2475474,-0.99559063,0.916744417
4,corner,1,1,0.477280099,0.401051092,0.023877048,-0.501283507,17167,1226.214286,0.043,4.900800399,36.318538,-0.020657675,-1.39308169,-1.39308169,0.300667899,0.468727557,0.947681523
5,edge,0,-1,1.790680019,-0.26432634,-0.299663097,0.107377229,15767,1126.214286,0.059,6.842539554,30.54545856,0.19135679,-1.787141835,-1.787141835,1.377687237,1.787134345,0.413216127
6,edge,-1,0,-0.487273814,0.817697294,1.25592968,1.933457743,21767,1554.785714,0.035,3.499047243,13.84712304,-0.325704386,0.13757168,0.13757168,-0.237841771,-0.583720777,-1.132697556
7,edge,0,1,1.374929498,0.840596963,0.894165627,0.984852551,21467,1533.357143,0.056,6.170143493,32.65679849,-0.097660513,0.026721432,0.026721432,1.175746111,1.345149512,0.608681675
8,edge,1,0,-0.219918487,-1.505390848,-1.466328753,-1.714679038,22967,1640.5,0.032,3.961687036,35.45188604,-0.328734283,0.596356432,0.596356432,-0.439782897,-0.224357227,0.86744783
9,center,0,0,0.880515217,-1.518793349,-1.338887247,-1.039509307,19967,1426.214286,0.045,5.576312974,29.79191937,-0.092808554,-0.504454167,-0.504454167,0.435295316,0.942636912,0.343454292
10,center,0,0,-0.616091639,-0.934822323,-1.025985819,-1.048097199,21767,1554.785714,0.037,3.443780768,14.78032897,-0.343981787,0.13757168,0.13757168,-0.103214353,-0.62757581,-1.04630237
11,center,0,0,-1.363102057,-0.530670107,-0.658670425,-0.536859319,23567,1683.357143,0.041,2.340763,27.2431336,-0.517918402,0.834979064,0.834979064,0.166040481,-1.554316466,0.107490485
12,center,0,0,0.281114866,-0.35890882,0.048298233,1.27137786,21267,1519.071429,0.045,4.581753304,25.30672291,-0.209302344,-0.04632408,-0.04632408,0.435295316,0.238145245,-0.071780304
13,center,0,0,0.561265407,-0.484187539,-0.610600946,-0.466957661,25567,1826.214286,0.05,4.904803786,47.01857519,-0.31385122,1.674829811,1.674829811,0.771863859,0.471591749,1.938279292
14,validation,0,0.5,-1.810975537,0.959986961,0.981340176,0.90009193,24187,1727.642857,0.01,2.224244244,18.07679924,-0.618689871,1.088020381,1.088020381,-1.920684487,-1.659173751,-0.741118748
15,validation,0,0.5,0.258395158,-0.658591639,-0.488063055,0.314438426,19267,1376.214286,0.025,4.971209864,22.08193187,-0.13704588,-0.739174452,-0.739174452,-0.910978857,0.518999725,-0.37032794
