trans_charge_C,trans_PI,trans_SG,trans_live_dead,trans_ce,trans_delta_cod_mg_L,trans_delta_cod_mg_L_day,trans_voltage,trans_cycle_5_energy_J,trans_cumulative_energy_J
-0.5650322651144917,1.5259678431420043,1.4769037920981614,0.44813694247472513,-0.20700765849348177,-1.059960037964273,-1.0599600379642733,-1.1802336917735645,-0.5036878804635504,-1.6602816686615265
0.4803577807132602,1.6153769173263621,1.502900589665123,0.155733922969224,-0.16050096757114046,-0.29659905570871303,-0.29659905570871203,1.377687237165339,0.37603749707243433,-1.1204870527831454
-1.0421442474927167,0.09501389335512454,-0.29521580456550944,-0.8080805747464656,-0.4995215186956746,1.3306848397595001,1.3306848397595004,-1.2475474004298515,-0.9955906304999775,0.9167444166210805
0.47728009945860456,0.4010510917326517,0.023877047962548484,-0.501283507347446,-0.02065767502491169,-1.3930816900997602,-1.3930816900997598,0.3006678986647479,0.4687275567153634,0.9476815230071345
1.7906800187328287,-0.26432634006905437,-0.2996630974138755,0.10737722869535803,0.19135679016888335,-1.7871418349016759,-1.7871418349016752,1.377687237165339,1.787134344630095,0.4132161268980805
-0.48727381448885004,0.8176972944275817,1.2559296800727697,1.9334577430109519,-0.32570438602518914,0.1375716797894078,0.13757167978940782,-0.23784177058554715,-0.5837207765040601,-1.1326975561322226
1.3749294982680096,0.8405969626232868,0.8941656271641156,0.9848525512348442,-0.09766051270208015,0.026721431888632068,0.026721431888632543,1.1757461111964784,1.3451495118924142,0.6086816747099877
-0.21991848655619578,-1.5053908476848752,-1.4663287527433944,-1.7146790375180518,-0.3287342832759589,0.5963564315674806,0.5963564315674807,-0.43978289655440816,-0.22435722714027395,0.867447829851687
0.8805152169208996,-1.5187933494454977,-1.3388872467730253,-1.0395093067072,-0.09280855403652369,-0.5044541673527915,-0.504454167352791,0.4352953159773219,0.942636912046442,0.3434542915049913
-0.6160916388779398,-0.9348223227052489,-1.025985818613869,-1.0480971989933765,-0.34398178718397565,0.1375716797894078,0.13757167978940782,-0.10321435327297362,-0.6275758101910525,-1.0463023698723541
-1.3631020566320735,-0.5306701067041929,-0.6586704248250089,-0.5368593185396597,-0.5179184024450939,0.8349790635614991,0.8349790635614993,0.1660404813521744,-1.554316465848423,0.1074904854099479
0.2811148662387595,-0.35890882007827085,0.04829823259989228,1.2713778604817532,-0.20930234362698757,-0.04632408003549785,-0.04632408003549707,0.4352953159773219,0.23814524543504084,-0.07178030396690942
0.5612654074176372,-0.48418753862750386,-0.6106009459884629,-0.4669576611206739,-0.3138512197505772,1.6748298107136963,1.674829810713697,0.7718638592587569,0.4715917487618082,1.9382792917190617
-1.8109755369148584,0.9599869612535227,0.9813401758860468,0.9000919304600455,-0.6186898706274581,1.0880203811755111,1.0880203811755111,-1.9206844869927209,-1.6591737512151488,-0.7411187482669221
0.2583951583271317,-0.6585916385406351,-0.4880630545254869,0.3144384256459717,-0.13704588025873657,-0.7391744521824258,-0.7391744521824252,-0.9109788571484166,0.518999725308885,-0.37032794003889097
